DateID,Date,Year,Month,Day,Month-Year,Day-Month-Year,ChicagoFiscalYear,IllinoisFiscalYear,Federal Holiday,DayOfWeek,Weekend,MinTemp(F),MaxTemp(F),New Snow,Snow Depth,Precipitation
170,6/18/2012,2012,6,18,06_2012,18_06_2012,2012,2012,,Monday,weekday,69,94,0,0,0
171,6/19/2012,2012,6,19,06_2012,19_06_2012,2012,2012,,Tuesday,weekday,78,95,0,0,0
172,6/20/2012,2012,6,20,06_2012,20_06_2012,2012,2012,,Wednesday,weekday,77,95,0,0,0
173,6/21/2012,2012,6,21,06_2012,21_06_2012,2012,2012,,Thursday,weekday,70,85,0,0,0.01
174,6/22/2012,2012,6,22,06_2012,22_06_2012,2012,2012,,Friday,weekday,64,87,0,0,0
175,6/23/2012,2012,6,23,06_2012,23_06_2012,2012,2012,,Saturday,weekend,62,87,0,0,0
176,6/24/2012,2012,6,24,06_2012,24_06_2012,2012,2012,,Sunday,weekend,65,94,0,0,0
177,6/25/2012,2012,6,25,06_2012,25_06_2012,2012,2012,,Monday,weekday,60,76,0,0,0
178,6/26/2012,2012,6,26,06_2012,26_06_2012,2012,2012,,Tuesday,weekday,56,83,0,0,0
179,6/27/2012,2012,6,27,06_2012,27_06_2012,2012,2012,,Wednesday,weekday,57,92,0,0,0
180,6/28/2012,2012,6,28,06_2012,28_06_2012,2012,2012,,Thursday,weekday,76,100,0,0,0.04
181,6/29/2012,2012,6,29,06_2012,29_06_2012,2012,2012,,Friday,weekday,69,88,0,0,0.42
182,6/30/2012,2012,6,30,06_2012,30_06_2012,2012,2012,,Saturday,weekend,69,92,0,0,0
183,7/1/2012,2012,7,1,07_2012,01_07_2012,2012,2013,,Sunday,weekend,68,91,0,0,0.001
184,7/2/2012,2012,7,2,07_2012,02_07_2012,2012,2013,,Monday,weekday,71,98,0,0,0
185,7/3/2012,2012,7,3,07_2012,03_07_2012,2012,2013,,Tuesday,weekday,77,96,0,0,0
186,7/4/2012,2012,7,4,07_2012,04_07_2012,2012,2013,Independence Day,Wednesday,weekday,79,102,0,0,0
187,7/5/2012,2012,7,5,07_2012,05_07_2012,2012,2013,,Thursday,weekday,79,103,0,0,0.28
188,7/6/2012,2012,7,6,07_2012,06_07_2012,2012,2013,,Friday,weekday,82,103,0,0,0
189,7/7/2012,2012,7,7,07_2012,07_07_2012,2012,2013,,Saturday,weekend,73,98,0,0,0
190,7/8/2012,2012,7,8,07_2012,08_07_2012,2012,2013,,Sunday,weekend,68,85,0,0,0
191,7/9/2012,2012,7,9,07_2012,09_07_2012,2012,2013,,Monday,weekday,66,91,0,0,0
192,7/10/2012,2012,7,10,07_2012,10_07_2012,2012,2013,,Tuesday,weekday,67,83,0,0,0
193,7/11/2012,2012,7,11,07_2012,11_07_2012,2012,2013,,Wednesday,weekday,64,87,0,0,0
194,7/12/2012,2012,7,12,07_2012,12_07_2012,2012,2013,,Thursday,weekday,66,91,0,0,0
195,7/13/2012,2012,7,13,07_2012,13_07_2012,2012,2013,,Friday,weekday,70,93,0,0,0.28
196,7/14/2012,2012,7,14,07_2012,14_07_2012,2012,2013,,Saturday,weekend,70,90,0,0,0.001
197,7/15/2012,2012,7,15,07_2012,15_07_2012,2012,2013,,Sunday,weekend,71,95,0,0,0
